vendor_name,slug,category_1,category_2,category_3,category_4,category_5,category_6,price_band,description,phone,address,area,city,state,country,latitude,longitude,is_active,monday_open,monday_close,tuesday_open,tuesday_close,wednesday_open,wednesday_close,thursday_open,thursday_close,friday_open,friday_close,saturday_open,saturday_close,sunday_open,sunday_close,dish_1_name,dish_1_description,dish_1_image_url,dish_2_name,dish_2_description,dish_2_image_url,dish_3_name,dish_3_description,dish_3_image_url,image_url_1,image_sort_order_1,image_url_2,image_sort_order_2
Mai Suya,mai-suya,grills,,,,,,budget,"He sells Suya ranging from N500 -N5,000",08157048891,Dunamis Market by Dunamis Junction,Garki,Abuja,FCT,Nigeria,9.0259712,7.4700817,true,05:00 PM,11:00 PM,05:00 PM,11:00 PM,05:00 PM,11:00 PM,05:00 PM,11:00 PM,05:00 PM,11:00 PM,05:00 PM,11:00 PM,05:00 PM,11:00 PM,Suya,"He sells Suya ranging from N500 -N5,000",,Suya,"He sells Suya ranging from N500 -N5,000",,Suya,"He sells Suya ranging from N500 -N5,000",,,,,
Anambra Kitchen,anambra-kitchen,breakfast,lunch,dinner,drinks,rice,swallow,budget,"She sells Rice and stew with meat, jollof Rice and plantain with salad. Swallow Garri,Apu Semo, Wheat, and poundo. Soup: Vegetable, Egusi,oha, bitter leaf, Ogbono Okro etc. ranging from N3,000-5000.",07087672070,Garage before Dunamis Church Area 1.,Garki,Abuja,FCT,Nigeria,9.025545,7.469465,true,07:00 AM,11:00 PM,07:00 AM,11:00 PM,07:00 AM,11:00 PM,07:00 AM,11:00 PM,07:00 AM,11:00 PM,07:00 AM,11:00 PM,07:00 AM,11:00 PM,"Jollof rice, rice and stew, swallow and soup, Moi Moi.","She sells Rice and stew with meat, jollof Rice and plantain with salad. Swallow Garri,Apu Semo, Wheat, and poundo. Soup: Vegetable, Egusi,oha, bitter leaf, Ogbono Okro etc. ranging from N3,000-5000.",,"Jollof rice, rice and stew, swallow and soup, Moi Moi.","She sells Rice and stew with meat, jollof Rice and plantain with salad. Swallow Garri,Apu Semo, Wheat, and poundo. Soup: Vegetable, Egusi,oha, bitter leaf, Ogbono Okro etc. ranging from N3,000-5000.",,"Jollof rice, rice and stew, swallow and soup, Moi Moi.","She sells Rice and stew with meat, jollof Rice and plantain with salad. Swallow Garri,Apu Semo, Wheat, and poundo. Soup: Vegetable, Egusi,oha, bitter leaf, Ogbono Okro etc. ranging from N3,000-5000.",,,,,
NATIONS EAT PLATE FAST FOOD,nations-eat-plate-fast-food,breakfast,lunch,dinner,drinks,snacks,,budget,"He sells Meatpie N600, Chin chin from N500-2,000 Egg roll N700, Bons N100, Sharwama ranging from N2700-5500 Indomie and 2eggs N1400-2,000 Burger N3,700 Party jollof rice on Order All kinds of drinks N400-500",09069901805,Area 1 before Dunamis Church by Dunamis Junction.,Garki,Abuja,FCT,Nigeria,9.0248273,7.4690103,true,05:00 PM,01:00 PM,09:00 AM,01:00 PM,09:00 AM,01:00 PM,09:00 AM,01:00 PM,09:00 AM,01:00 PM,09:00 AM,01:00 PM,,,"Sharwama,Burger, Meatpie, Egg roll, indomie and egg etc.","He sells Meatpie N600, Chin chin from N500-2,000 Egg roll N700, Bons N100, Sharwama ranging from N2700-5500 Indomie and 2eggs N1400-2,000 Burger N3,700 Party jollof rice on Order All kinds of drinks N400-500",,"Sharwama,Burger, Meatpie, Egg roll, indomie and egg etc.","He sells Meatpie N600, Chin chin from N500-2,000 Egg roll N700, Bons N100, Sharwama ranging from N2700-5500 Indomie and 2eggs N1400-2,000 Burger N3,700 Party jollof rice on Order All kinds of drinks N400-500",,"Sharwama,Burger, Meatpie, Egg roll, indomie and egg etc.","He sells Meatpie N600, Chin chin from N500-2,000 Egg roll N700, Bons N100, Sharwama ranging from N2700-5500 Indomie and 2eggs N1400-2,000 Burger N3,700 Party jollof rice on Order All kinds of drinks N400-500",,,,,
Ann's kitchen,ann-s-kitchen,breakfast,lunch,dinner,drinks,rice,,budget,"She sells Indomie and 2eggs N1,500 cooked yam and porridge beans N1,500 Swallow: Apu, garri and Semo with Soup N1,200-1,500 All kinds of Soft Drinks ranging from N400-800",08070719332,Dagba Church village opposite police station Durumi Area 1.,Garki,Abuja,FCT,Nigeria,9.0258168,7.4637133,true,06:00 AM,09:00 PM,06:00 AM,09:00 PM,06:00 AM,09:00 PM,06:00 AM,09:00 PM,06:00 AM,09:00 PM,06:00 AM,09:00 PM,,,"Indomie/egg, cooked yam and porridge beans etc.","She sells Indomie and 2eggs N1,500 cooked yam and porridge beans N1,500 Swallow: Apu, garri and Semo with Soup N1,200-1,500 All kinds of Soft Drinks ranging from N400-800",,"Indomie/egg, cooked yam and porridge beans etc.","She sells Indomie and 2eggs N1,500 cooked yam and porridge beans N1,500 Swallow: Apu, garri and Semo with Soup N1,200-1,500 All kinds of Soft Drinks ranging from N400-800",,"Indomie/egg, cooked yam and porridge beans etc.","She sells Indomie and 2eggs N1,500 cooked yam and porridge beans N1,500 Swallow: Apu, garri and Semo with Soup N1,200-1,500 All kinds of Soft Drinks ranging from N400-800",,,,,
Comfort Kitchen,comfort-kitchen,breakfast,lunch,dinner,rice,swallow,,budget,"She sells Rice and stew with meat N1,300-N1,500 Swallow and Soup with Meat N1,500, with pounded yam N1600 Fried chicken N1,000-N1,500 fried goat meat N500 Fried Fish N500-1,000",08130604975,"Ayuba waba, Close to Sumabib indomie Factory.",Garki,Abuja,FCT,Nigeria,9.0263632,7.4639992,true,06:00 AM,07:00 PM,06:00 AM,07:00 PM,06:00 AM,07:00 PM,06:00 AM,07:00 PM,06:00 AM,07:00 PM,06:00 AM,07:00 PM,,,"Fried chicken, Fried goat meat, fried fish,","She sells Rice and stew with meat N1,300-N1,500 Swallow and Soup with Meat N1,500, with pounded yam N1600 Fried chicken N1,000-N1,500 fried goat meat N500 Fried Fish N500-1,000",,"Fried chicken, Fried goat meat, fried fish,","She sells Rice and stew with meat N1,300-N1,500 Swallow and Soup with Meat N1,500, with pounded yam N1600 Fried chicken N1,000-N1,500 fried goat meat N500 Fried Fish N500-1,000",,"Fried chicken, Fried goat meat, fried fish,","She sells Rice and stew with meat N1,300-N1,500 Swallow and Soup with Meat N1,500, with pounded yam N1600 Fried chicken N1,000-N1,500 fried goat meat N500 Fried Fish N500-1,000",,,,,
Mama Edo,mama-edo,breakfast,lunch,dinner,rice,swallow,,budget,"She sells Rice and beans with stew and meat N1,500 Swallow: Apu, garri,Semo, poundo Soup: Egusi,Okro, ogbono,and Vegetable ranging from N1,000-1,500-2,000",08058811558,"Dagba, Area 1 besides Ebeneza plaza",Garki,Abuja,FCT,Nigeria,9.0260453,7.4638509,true,06:00 AM,10:00 PM,06:00 AM,10:00 PM,06:00 AM,10:00 PM,06:00 AM,10:00 PM,06:00 AM,10:00 PM,06:00 AM,10:00 PM,,,"Rice, beans, meat, swallow and soup","She sells Rice and beans with stew and meat N1,500 Swallow: Apu, garri,Semo, poundo Soup: Egusi,Okro, ogbono,and Vegetable ranging from N1,000-1,500-2,000",,"Rice, beans, meat, swallow and soup","She sells Rice and beans with stew and meat N1,500 Swallow: Apu, garri,Semo, poundo Soup: Egusi,Okro, ogbono,and Vegetable ranging from N1,000-1,500-2,000",,"Rice, beans, meat, swallow and soup","She sells Rice and beans with stew and meat N1,500 Swallow: Apu, garri,Semo, poundo Soup: Egusi,Okro, ogbono,and Vegetable ranging from N1,000-1,500-2,000",,,,,
Christina Onishinu,christina-onishinu,breakfast,lunch,,,,,budget,"She sells Roasted plantain and porridge beans with kpomo N2,000. Roasted Plantain, with porridge beans and kpomo N2,000",08036752360,"Besides Ebeniza plaza, opposite a Mechanic.",Garki,Abuja,FCT,Nigeria,9.0260285,7.4638563,true,09:00 AM,02:00 PM,09:00 AM,02:00 PM,09:00 AM,02:00 PM,09:00 AM,02:00 PM,09:00 AM,02:00 PM,09:00 AM,02:00 PM,,,"Roasted yam, Roasted plantain, kpomo","She sells Roasted plantain and porridge beans with kpomo N2,000. Roasted Plantain, with porridge beans and kpomo N2,000",,"Roasted yam, Roasted plantain, kpomo","She sells Roasted plantain and porridge beans with kpomo N2,000. Roasted Plantain, with porridge beans and kpomo N2,000",,"Roasted yam, Roasted plantain, kpomo","She sells Roasted plantain and porridge beans with kpomo N2,000. Roasted Plantain, with porridge beans and kpomo N2,000",,,,,
Mama mimi,mama-mimi,breakfast,lunch,dinner,,,,budget,"She sells porridge beans and Roasted yam with Kpomo N1,300 porridge beans with plantain and kpomo N1,500",07072951587,Gwagwalada park Area 1,Garki,Abuja,FCT,Nigeria,9.0274517,7.467905,true,09:00 AM,04:00 PM,09:00 AM,04:00 PM,09:00 AM,04:00 PM,09:00 AM,04:00 PM,09:00 AM,04:00 PM,,,,,"porridge beans, Roasted yam, plantain and stew","She sells porridge beans and Roasted yam with Kpomo N1,300 and stew porridge beans with plantain and kpomo N1,500",,"porridge beans, Roasted yam, plantain and stew","She sells porridge beans and Roasted yam with Kpomo N1,300 porridge beans with plantain and kpomo N1,500",,"porridge beans, Roasted yam, plantain and stew","She sells porridge beans and Roasted yam with Kpomo N1,300 porridge beans with plantain and kpomo N1,500",,,,,
Madam TIV,madam-tiv,breakfast,lunch,dinner,rice,swallow,,budget,"She sells Indomie and 2egg N1,500 white Rice, stew  and beans with meat N1,500 Swallow: Semo, Apu, garri Soup: okro Egusi, vegetable, oha, N1,500-N2,000,white soup N2,500, Afang soup N1,500",09079495926,Area 1 Gwagwalada park.,Garki,Abuja,FCT,Nigeria,9.0278317,7.4671867,true,06:30 AM,06:00 PM,06:30 AM,06:00 PM,06:30 AM,06:00 PM,06:30 AM,06:00 PM,06:30 AM,06:00 PM,06:30 AM,06:00 PM,,,"Rice and stew,beans, Meat and Varities of Soup.","She sells Indomie and 2egg N1,500 white Rice, stew  and beans with meat N1,500 Swallow: Semo, Apu, garri Soup: okro Egusi, vegetable, oha, N1,500-N2,000,white soup N2,500, Afang soup N1,500",,"Rice and stew,beans, Meat and Varities of Soup.","She sells Indomie and 2egg N1,500 white Rice, stew  and beans with meat N1,500 Swallow: Semo, Apu, garri Soup: okro Egusi, vegetable, oha, N1,500-N2,000,white soup N2,500, Afang soup N1,500",,"Rice and stew,beans, Meat and Varities of Soup.","She sells Indomie and 2egg N1,500 white Rice, stew  and beans with meat N1,500 Swallow: Semo, Apu, garri Soup: okro Egusi, vegetable, oha, N1,500-N2,000,white soup N2,500, Afang soup N1,500",,,,,
Precious Indomie,precious-indomie,breakfast,lunch,dinner,,,,budget,"She sells Indomie and 2eggs N1,300-1,600 Soft Drinks like : Fearless N600, Malt, N700,Coke ,fanta,7up, Sweepes, Pepsi from N400-500.",09115240145,"Area 1 opposite Gwagwalada park, VIO street.",Garki,Abuja,FCT,Nigeria,9.0284875,7.4663562,true,06:30 AM,06:00 PM,06:30 AM,06:00 PM,06:30 AM,06:00 PM,06:30 AM,06:00 PM,06:30 AM,06:00 PM,06:30 AM,06:00 PM,,,"Indomie and eggs, with soft drinks","She sells Indomie and 2eggs N1,300-1,600 Soft Drinks like : Fearless N600, Malt, N700,Coke ,fanta,7up, Sweepes, Pepsi from N400-500.",,"Indomie and eggs, with soft drinks","She sells Indomie and 2eggs N1,300-1,600 Soft Drinks like : Fearless N600, Malt, N700,Coke ,fanta,7up, Sweepes, Pepsi from N400-500.",,"Indomie and eggs, with soft drinks","She sells Indomie and 2eggs N1,300-1,600 Soft Drinks like : Fearless N600, Malt, N700,Coke ,fanta,7up, Sweepes, Pepsi from N400-500.",,,,,
