vendor_name,slug,category_1,category_2,category_3,category_4,category_5,category_6,price_band,description,phone,address,area,city,state,country,latitude,longitude,is_active,monday_open,monday_close,tuesday_open,tuesday_close,wednesday_open,wednesday_close,thursday_open,thursday_close,friday_open,friday_close,saturday_open,saturday_close,sunday_open,sunday_close,dish_1_name,dish_1_description,dish_1_image_url,dish_2_name,dish_2_description,dish_2_image_url,dish_3_name,dish_3_description,dish_3_image_url,image_url_1,image_sort_order_1,image_url_2,image_sort_order_2
Blessing indomie,blessing-indomie,breakfast,lunch,dinner,,,,budget,"She Sells indomie and egg N1500-2,000 with coconut Rice with Beef N2,000",09060535220,Jabi Bitikuwe street by Car wash,Jabi,Abuja,FCT,Nigeria,9.0737793,7.4328425,TRUE,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,,,"indomie,Egg,Coconut Rice and Beef.","She Sells indomie and egg N1500-2,000 with coconut Rice with Beef N2,000",,"indomie,Egg,Coconut Rice and Beef.","She Sells indomie and egg N1500-2,000 with coconut Rice with Beef N2,000",,"indomie,Egg,Coconut Rice and Beef.","She Sells indomie and egg N1500-2,000 with coconut Rice with Beef N2,000",,,,,
mai Awara,mai-awara,lunch,dinner,,,,,budget,She sells Awara N50 upward and cooked Corn N200-300 upward.,09073132789,Jabi Bitikuwe street,Jabi,Abuja,FCT,Nigeria,9.0732157,7.43258,TRUE,12:00 PM,5:00 PM,12:00 PM,5:00 PM,12:00 PM,5:00 PM,12:00 PM,5:00 PM,12:00 PM,5:00 PM,12:00 PM,5:00 PM,,,Awara and Corn,She sells Awara N50 upward and cooked Corn N200-300 upward.,,Awara and Corn,She sells Awara N50 upward and cooked Corn N200-300 upward.,,Awara and Corn,She sells Awara N50 upward and cooked Corn N200-300 upward.,,,,,
Madam Fish,madam-fish,grills,,,,,,premium,"Roasted Catfish and source, Salad, chips etc ranging from N5,000, N6,000 and N 10,000",09012313375,Jabi kpana village opposite Pudimu plaza.,Jabi,Abuja,FCT,Nigeria,9.0720683,7.4331236,TRUE,10:00 PM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,,,"Roasted Catfish and source, Salad, chips etc ranging from N5,000, N6,000 and N 10,000","Roasted Catfish and source, Salad, chips etc ranging from N5,000, N6,000 and N 10,000",,"Roasted Catfish and source, Salad, chips etc ranging from N5,000, N6,000 and N 10,000","Roasted Catfish and source, Salad, chips etc ranging from N5,000, N6,000 and N 10,000",,Catfish and source with Salad and chips,"Roasted Catfish and source, Salad, chips etc ranging from N5,000, N6,000 and N 10,000",,,,,
Chi joy Catherine Services,chi-joy-catherine-services,drinks,snacks,,,,,budget,"Meat pie N1000, Egg Roll N700, Cake,N1000-5000,000 Including wedding cakes, bread N300, Drinks: Cern malt, Tiger nut, zono, fruit juice, Minerals, ranging from N1500-3000.",08036086442,Jabi Eda plaza opposite CHIDA Hotel,Jabi,Abuja,FCT,Nigeria,9.0716052,7.4337068,TRUE,8:00 AM,5:30 PM,8:00 AM,5:30 PM,8:00 AM,5:30 PM,8:00 AM,5:30 PM,8:00 AM,5:30 PM,8:00 AM,5:30 PM,,,"Bottle water, fanta, coke, Sprite, bones, puff puff, etc.","Meat pie N1000, Egg Roll N700, Cake,N1000-5000,000 Including wedding cakes, bread N300, Drinks: Cern malt, Tiger nut, zono, fruit juice, Minerals, ranging from N1500-3000.",,"Bottle water, fanta, coke, Sprite, bones, puff puff, etc.","Meat pie N1000, Egg Roll N700, Cake,N1000-5000,000 Including wedding cakes, bread N300, Drinks: Cern malt, Tiger nut, zono, fruit juice, Minerals, ranging from N1500-3000.",,"Bottle water, fanta, coke, Sprite, bones, puff puff, etc.","Meat pie N1000, Egg Roll N700, Cake,N1000-5000,000 Including wedding cakes, bread N300, Drinks: Cern malt, Tiger nut, zono, fruit juice, Minerals, ranging from N1500-3000.",,,,,
Chizzy African food,chizzy-african-food,breakfast,lunch,dinner,rice,swallow,,budget,"She Sells Rice and stew with beans, Goat meat, oha soup Apu, Egusi, biterleaf, Afang, white soup, Ofaku stew etc ranging N1500-3500",08028501536,Utako after NUJ FCT Council opposite Jabii garage,Utako,Abuja,FCT,Nigeria,9.0653398,7.4366143,TRUE,7:00 AM,6:00 PM,7:00 AM,6:00 PM,7:00 AM,6:00 PM,7:00 AM,6:00 PM,7:00 AM,6:00 PM,7:00 AM,6:00 PM,7:00 AM,6:00 PM,"oha, Egusi, biterleaf, okro, Afang, white soup, banker Stew etc","She Sells Rice and stew with beans, Goat meat, oha soup Apu, Egusi, biterleaf, Afang, white soup, Ofaku stew etc ranging N1500-3500",,"oha, Egusi, biterleaf, okro, Afang, white soup, banker Stew etc","She Sells Rice and stew with beans, Goat meat, oha soup Apu, Egusi, biterleaf, Afang, white soup, Ofaku stew etc ranging N1500-3500",,"oha, Egusi, biterleaf, okro, Afang, white soup, banker Stew etc","She Sells Rice and stew with beans, Goat meat, oha soup Apu, Egusi, biterleaf, Afang, white soup, Ofaku stew etc ranging N1500-3500",,,,,
Mama mary,mama-mary,breakfast,lunch,dinner,rice,swallow,,budget,"She sells Yam, porridge, fried plantain, roasted plantain, porridge beans, white rice and stew, goat meat, beef, kpomo, fish, swallow and SoupN1200-1700.",08168291113,Utako opposite NUJ Fct Council,Utako,Abuja,FCT,Nigeria,9.0659725,7.4371586,TRUE,7:00 AM,6:30 PM,7:00 AM,6:00 PM,7:00 AM,6:30 PM,7:00 AM,6:30 PM,7:00 AM,6:30 PM,7:00 AM,6:30 PM,,,"Roasted yam, plantain, fish porridge beans, etc","She sells Yam, porridge, fried plantain, roasted plantain, porridge beans, white rice and stew, goat meat, beef, kpomo, fish, swallow and SoupN1200-1700.",,"Roasted yam, plantain, fish porridge beans, etc","She sells Yam, porridge, fried plantain, roasted plantain, porridge beans, white rice and stew, goat meat, beef, kpomo, fish, swallow and SoupN1200-1700.",,"Roasted yam, plantain, fish porridge beans, etc","She sells Yam, porridge, fried plantain, roasted plantain, porridge beans, white rice and stew, goat meat, beef, kpomo, fish, swallow and SoupN1200-1700.",,,,,
Alice kitchen,alice-kitchen,breakfast,lunch,dinner,rice,swallow,,budget,"She sells White Rice, porridge beans, fried plantain, Soup: Oha, Afang, vegetable soup, Egusi Banger soup etc. Swallow: Apu garri, Semo,Wheat etc. ranging from",07012264698,"Utako Dan suileman 25 street,first turn by your left the street opposite uba and zenith bank.",Utako,Abuja,FCT,Nigeria,9.0579,7.4951,TRUE,6:00 AM,4:00 PM,6:00 AM,4:00 PM,6:00 AM,4:00 PM,6:00 AM,4:00 PM,6:00 AM,4:00 PM,6:00 AM,4:00 PM,,,"Rice plantain, beans and ofaku","She sells White Rice, porridge beans, fried plantain, Soup: Oha, Afang, vegetable soup, Egusi Banger soup etc. Swallow: Apu garri, Semo,Wheat etc. ranging from",,"Rice plantain, beans and ofaku","She sells White Rice, porridge beans, fried plantain, Soup: Oha, Afang, vegetable soup, Egusi Banger soup etc. Swallow: Apu garri, Semo,Wheat etc. ranging from",,"Rice plantain, beans and ofaku","She sells White Rice, porridge beans, fried plantain, Soup: Oha, Afang, vegetable soup, Egusi Banger soup etc. Swallow: Apu garri, Semo,Wheat etc. ranging from",,,,,
Blessing,blessing,breakfast,lunch,dinner,,,,budget,She sells indomie and fried egg fromN1500 upward,07039841690,Utako market opposite GUO transport Co.,Utako,Abuja,FCT,Nigeria,9.0579,7.4951,TRUE,6:00 AM,6:00 PM,6:00 AM,6:00 PM,6:00 AM,6:00 PM,6:00 AM,6:00 PM,6:00 AM,6:00 PM,6:00 AM,6:00 PM,,,Indomie and fried egg,She sells indomie and fried egg fromN1500 upward,,she cooks indomie and frys egg,She sells indomie and fried egg fromN1500 upward,,she cooks indomie and frys egg,She sells indomie and fried egg fromN1500 upward,,,,,
Mai kilishi,mai-kilishi,grills,,,,,,budget,He sells kilishi,08126703153,Utako market by Ekeson,Utako,Abuja,FCT,Nigeria,9.0669149,7.4440806,TRUE,8:00 AM,7:30 PM,8:00 AM,7:30 PM,8:00 AM,7:30 PM,8:00 AM,7:30 PM,8:00 AM,7:30 PM,8:00 AM,7:30 PM,8:00 AM,7:30 PM,Kilishi,"He sells kilishi ranging from N1,000 and above.",,kilishi,"He sells kilishi ranging from N1,000 and above.",,kilishi,"He sells kilishi ranging from N1,000 and above.",,,,,
mama Obaje,mama-obaje,breakfast,lunch,dinner,,,,budget,"She sells Akara, fried potatoes, fried yam, fried plantain, fried fish and pap, ranging from N50-1,000.",09115773894,Utako market opposite Mobil filling station,Utako,Abuja,FCT,Nigeria,9.066911,7.4447423,TRUE,7:00 AM,7:00 PM,7:00 AM,7:00 PM,7:00 AM,7:00 PM,7:00 AM,7:00 PM,7:00 AM,7:00 PM,7:00 AM,7:00 PM,,,"Pap, Akara, yam, potato, plantain and fish.","She sells Akara, fried potatoes, fried yam, fried plantain, fried fish and pap, ranging from N50-1,000.",,"Pap, Akara, yam, potato, plantain and fish.","She sells Akara, fried potatoes, fried yam, fried plantain, fried fish and pap, ranging from N50-1,000.",,"Pap, Akara, yam, potato, plantain and fish.","She sells Akara, fried potatoes, fried yam, fried plantain, fried fish and pap, ranging from N50-1,000.",,,,,
